Year,Beef,Pork,Total Red Meat,Broilers,Other Chicken,Total Chicken,Turkey,Total Poultry,Total Red Meat & Poultry,Commercial Fish & Shell-Fish
1960,63.3,59.1,133.0,23.6,4.4,28.0,6.2,34.2,167.2,10.3
1965,74.7,51.5,133.9,32.4,4.0,36.4,7.6,44.0,177.9,10.9
1966,78.1,50.3,135.8,32.1,3.7,35.8,7.9,43.7,179.5,10.9
1967,79.8,55.0,141.6,32.6,4.0,36.7,8.7,45.3,187.0,10.6
1968,82.0,56.2,144.6,32.9,4.0,36.9,8.1,44.9,189.6,11.0
1969,82.5,54.3,142.7,34.9,3.6,38.5,8.3,46.8,189.6,11.2
1970,84.4,55.4,145.1,36.5,3.7,40.1,8.1,48.2,193.3,11.7
1971,83.9,60.6,149.6,36.3,3.8,40.1,8.4,48.5,198.1,11.5
1972,85.3,54.7,144.8,37.9,3.5,41.5,9.0,50.4,195.2,12.5
1973,80.5,48.7,133.1,36.6,3.2,39.8,8.4,48.2,181.3,12.7
1974,85.6,52.7,142.3,36.5,3.2,39.7,8.7,48.4,190.7,12.1
1975,88.2,42.9,136.3,36.0,2.7,38.7,8.3,47.0,183.3,12.1
1976,94.1,45.1,144.2,39.4,2.6,42.0,8.9,50.9,195.1,12.9
1977,91.5,46.7,142.9,40.1,2.6,42.7,8.7,51.4,194.3,12.6
1978,87.1,46.5,137.5,42.5,2.3,44.7,8.7,53.4,190.9,13.4
1979,77.9,53.2,134.1,45.4,2.2,47.7,9.2,56.9,191.0,13.0
1980,76.4,56.8,136.1,45.2,2.1,47.4,10.2,57.6,193.7,12.4
1981,77.2,54.2,134.4,46.2,2.5,48.7,10.6,59.3,193.7,12.6
1982,76.9,48.6,128.6,46.5,2.5,48.9,10.6,59.5,188.1,12.4
1983,78.5,51.3,133.0,46.8,2.2,49.0,11.0,60.0,193.0,13.3
1984,78.3,51.0,132.6,48.8,2.1,50.9,11.0,61.9,194.5,14.1
1985,79.0,51.5,133.8,50.5,2.0,52.5,11.6,64.1,197.9,15.0
1986,78.7,48.6,130.5,51.1,2.1,53.1,12.9,66.0,196.5,15.4
1987,73.7,48.8,125.3,54.5,2.1,56.6,14.7,71.3,196.6,16.1
1988,72.5,52.1,127.3,54.8,1.9,56.7,15.7,72.4,199.7,15.1
1989,68.9,51.5,123.0,56.1,1.7,57.8,16.6,74.4,197.4,15.6
1990,67.5,49.4,119.4,59.0,1.7,60.6,17.5,78.1,197.5,14.9
1991,66.4,49.8,118.6,61.4,1.6,62.9,17.8,80.7,199.3,14.8
1992,65.9,52.3,120.6,64.9,1.6,66.5,17.8,84.2,204.8,14.6
1993,64.4,51.6,118.2,67.4,1.5,69.0,17.7,86.5,204.7,14.8
1994,66.1,52.1,120.4,68.4,1.3,69.7,17.5,87.3,207.7,15.0
1995,66.4,51.5,120.0,67.6,1.3,68.9,17.6,86.5,206.5,14.8
1996,67.0,48.1,117.4,69.0,0.7,69.7,18.1,87.8,205.2,14.5
1997,65.5,47.6,115.2,71.1,0.3,71.4,17.2,88.6,203.8,14.3
1998,66.5,51.3,119.7,71.7,0.3,71.9,17.6,89.5,209.2,14.5
1999,67.3,52.5,121.7,76.0,0.5,76.4,17.5,93.9,215.6,14.8
2000,67.5,50.8,120.2,76.6,0.8,77.4,17.3,94.7,214.9,15.2
2001,66.0,50.0,117.7,76.3,0.8,77.1,17.5,94.6,212.3,14.7
2002,67.5,51.3,120.6,80.1,0.9,81.0,17.7,98.7,219.3,15.6
2003,64.8,51.6,118.1,81.1,1.0,82.1,17.4,99.5,217.6,16.3
2004,65.9,51.0,118.6,83.9,0.7,84.6,17.0,101.6,220.2,16.6
2005,65.4,49.6,116.5,85.4,1.0,86.4,16.7,103.1,219.6,16.2
2006,65.7,49.0,116.1,86.0,0.9,86.9,16.9,103.8,219.9,16.5
2007,65.0,50.3,116.8,84.7,0.8,85.5,17.5,103.0,219.8,16.3
2008,62.1,48.9,112.5,82.9,0.9,83.8,17.6,101.4,213.9,15.9
2009,60.8,49.6,111.7,79.2,0.8,80.0,16.9,96.9,208.6,15.8
2010,59.3,47.2,107.9,81.8,1.0,82.8,16.0,98.8,206.7,15.8
2011,56.9,45.1,103.2,82.3,1.0,83.3,16.0,99.3,202.5,14.9
2012,57.1,45.3,103.5,79.8,1.0,80.8,15.9,96.7,200.2,14.2
2013,56.0,46.3,103.5,81.4,0.9,82.3,15.9,98.2,201.7,14.3
2014,53.9,45.3,100.4,82.9,0.9,83.8,15.8,99.6,200.0,14.6
2015,53.8,49.2,104.2,88.4,0.9,89.3,15.9,105.2,209.4,15.5
2016,56.5,50.1,106.9,89.8,1.2,91.0,16.6,107.6,214.5,14.7
2017,56.9,50.1,108.2,90.8,1.3,92.1,16.4,108.5,216.8,
2018,57.2,50.9,109.5,92.4,1.4,93.8,16.2,110.0,219.5,
2019,57.2,51.8,110.2,93.9,1.3,95.2,16.0,111.2,221.4,
estimated 2020,58.0,52.1,111.4,94.4,1.4,95.8,16.0,111.8,223.2,
