"id","genre","n"
1,"Action",3
1,"Adventure",3
1,"Comedy",2
1,"Crime",1
1,"Family",1
1,"Fantasy",1
1,"Science Fiction",1
2,"Action",3
2,"Adventure",3
2,"Comedy",1
2,"Science Fiction",3
3,"Action",16
3,"Adventure",13
3,"Comedy",6
3,"Crime",5
3,"Drama",15
3,"Fantasy",1
3,"History",1
3,"Horror",1
3,"Mystery",3
3,"Romance",5
3,"Science Fiction",5
3,"Thriller",13
3,"War",2
4,"Action",4
4,"Adventure",4
4,"Comedy",9
4,"Crime",4
4,"Drama",3
4,"Family",1
4,"Fantasy",1
4,"Horror",2
4,"Music",1
4,"Mystery",3
4,"Romance",4
4,"Science Fiction",4
4,"Thriller",2
5,"Action",1
5,"Adventure",1
5,"Science Fiction",1
6,"Action",7
6,"Adventure",8
6,"Animation",2
6,"Comedy",1
6,"Family",1
6,"Fantasy",2
6,"Science Fiction",7
7,"Action",1
7,"Adventure",2
7,"Animation",5
7,"Comedy",2
7,"Family",5
8,"Animation",3
8,"Comedy",3
8,"Family",3
10,"Action",1
10,"Adventure",2
10,"Animation",6
10,"Comedy",3
10,"Family",6
11,"Horror",1
11,"Thriller",1
12,"Adventure",1
12,"Animation",2
12,"Comedy",1
12,"Family",2
12,"Horror",1
12,"Thriller",1
13,"Action",1
13,"Adventure",1
13,"Animation",4
13,"Comedy",6
13,"Crime",4
13,"Drama",6
13,"Family",3
13,"Fantasy",3
13,"Horror",1
13,"Romance",1
13,"Science Fiction",1
13,"Thriller",3
14,"Animation",1
14,"Comedy",1
14,"Family",1
18,"Action",3
18,"Adventure",5
18,"Animation",5
18,"Comedy",11
18,"Drama",1
18,"Family",10
18,"Fantasy",5
18,"Music",1
18,"Romance",1
18,"Thriller",1
19,"Action",1
19,"Adventure",3
19,"Animation",4
19,"Comedy",21
19,"Crime",2
19,"Drama",17
19,"Family",5
19,"Fantasy",1
19,"Music",2
19,"Romance",8
19,"Thriller",1
20,"Action",1
20,"Animation",2
20,"Comedy",7
20,"Drama",3
20,"Family",5
20,"Fantasy",3
20,"Horror",1
20,"Romance",2
20,"Thriller",1
22,"Action",2
22,"Adventure",3
22,"Animation",1
22,"Comedy",1
22,"Drama",2
22,"Family",2
22,"Fantasy",2
22,"Music",1
23,"Adventure",1
23,"Animation",2
23,"Drama",1
23,"Family",2
23,"Fantasy",1
31,"Action",1
31,"Adventure",3
31,"Animation",6
31,"Comedy",16
31,"Crime",4
31,"Documentary",1
31,"Drama",19
31,"Family",7
31,"Fantasy",4
31,"History",3
31,"Mystery",2
31,"Romance",5
31,"Science Fiction",1
31,"Thriller",6
31,"War",1
32,"Action",2
32,"Adventure",3
32,"Animation",2
32,"Comedy",4
32,"Crime",4
32,"Drama",13
32,"Family",1
32,"Fantasy",1
32,"History",1
32,"Music",1
32,"Mystery",3
32,"Romance",4
32,"Science Fiction",1
32,"Thriller",4
33,"Action",4
33,"Adventure",2
33,"Animation",1
33,"Comedy",2
33,"Crime",4
33,"Drama",4
33,"Family",1
33,"Fantasy",1
33,"Mystery",1
33,"Romance",1
33,"Science Fiction",3
33,"Thriller",4
33,"Western",1
34,"Action",4
34,"Adventure",1
34,"Comedy",4
34,"Crime",3
34,"Drama",6
34,"Horror",2
34,"Mystery",2
34,"Romance",1
34,"Thriller",3
35,"Action",2
35,"Adventure",2
35,"Comedy",5
35,"Drama",5
35,"Family",1
35,"Fantasy",2
35,"History",1
35,"Romance",3
35,"Thriller",1
40,"Action",1
40,"Adventure",2
40,"Comedy",3
40,"Crime",2
40,"Drama",6
40,"Family",1
40,"History",2
40,"Mystery",1
40,"War",1
47,"Crime",1
47,"Drama",1
47,"Music",1
48,"Action",12
48,"Adventure",12
48,"Comedy",3
48,"Crime",4
48,"Drama",9
48,"Family",2
48,"Fantasy",6
48,"Horror",2
48,"Mystery",5
48,"Science Fiction",6
48,"Thriller",12
48,"War",1
49,"Action",3
49,"Adventure",2
49,"Comedy",5
49,"Crime",5
49,"Drama",12
49,"Fantasy",1
49,"History",1
49,"Horror",2
49,"Music",1
49,"Mystery",1
49,"Romance",2
49,"Science Fiction",1
49,"Thriller",9
50,"Action",2
50,"Adventure",2
50,"Animation",1
50,"Comedy",1
50,"Crime",3
50,"Drama",6
50,"Music",2
50,"Mystery",1
50,"Romance",2
50,"Thriller",1
50,"War",1
51,"Adventure",1
51,"Family",1
51,"Fantasy",1
52,"Action",7
52,"Adventure",4
52,"Comedy",2
52,"Crime",6
52,"Drama",17
52,"Family",2
52,"Fantasy",3
52,"Horror",1
52,"Music",1
52,"Mystery",5
52,"Romance",3
52,"Science Fiction",2
52,"Thriller",10
52,"War",1
53,"Action",16
53,"Adventure",7
53,"Animation",1
53,"Comedy",13
53,"Crime",11
53,"Drama",8
53,"Family",2
53,"Fantasy",2
53,"History",1
53,"Horror",2
53,"Music",2
53,"Mystery",5
53,"Romance",1
53,"Science Fiction",7
53,"Thriller",14
53,"War",1
54,"Action",1
54,"Adventure",1
54,"Crime",1
54,"Drama",3
54,"History",1
54,"Romance",1
54,"Thriller",1
54,"War",1
56,"Comedy",1
56,"Drama",1
56,"Horror",1
56,"Romance",1
56,"Thriller",1
62,"Action",28
62,"Adventure",12
62,"Animation",3
62,"Comedy",19
62,"Crime",18
62,"Drama",13
62,"Family",4
62,"Fantasy",3
62,"Horror",1
62,"Mystery",4
62,"Romance",3
62,"Science Fiction",7
62,"Thriller",31
62,"War",2
63,"Action",9
63,"Adventure",6
63,"Comedy",3
63,"Drama",6
63,"Fantasy",1
63,"History",1
63,"Horror",5
63,"Mystery",2
63,"Romance",2
63,"Science Fiction",8
63,"Thriller",6
63,"War",1
63,"Western",1
64,"Action",11
64,"Adventure",6
64,"Animation",4
64,"Comedy",1
64,"Crime",6
64,"Drama",12
64,"Family",7
64,"Fantasy",6
64,"History",3
64,"Horror",3
64,"Mystery",3
64,"Romance",4
64,"Science Fiction",6
64,"Thriller",14
65,"Action",12
65,"Adventure",9
65,"Animation",2
65,"Comedy",4
65,"Crime",2
65,"Drama",9
65,"Family",2
65,"Fantasy",7
65,"History",2
65,"Horror",4
65,"Mystery",1
65,"Romance",3
65,"Science Fiction",7
65,"Thriller",7
65,"War",2
66,"Action",4
66,"Adventure",2
66,"Comedy",6
66,"Crime",3
66,"Drama",1
66,"Fantasy",1
66,"Romance",2
66,"Science Fiction",1
66,"Thriller",3
73,"Drama",1
73,"Science Fiction",1
74,"Drama",1
74,"Science Fiction",1
75,"Drama",1
75,"Science Fiction",1
77,"Drama",1
77,"Science Fiction",1
78,"Drama",1
78,"Science Fiction",1
79,"Drama",1
79,"Science Fiction",1
80,"Drama",1
80,"Science Fiction",1
81,"Drama",1
81,"Science Fiction",1
82,"Drama",1
82,"Science Fiction",1
83,"Drama",1
83,"Science Fiction",1
85,"Action",9
85,"Adventure",11
85,"Animation",2
85,"Comedy",14
85,"Crime",5
85,"Drama",15
85,"Family",3
85,"Fantasy",13
85,"History",2
85,"Horror",6
85,"Music",2
85,"Mystery",5
85,"Romance",7
85,"Science Fiction",2
85,"Thriller",9
85,"War",1
85,"Western",2
98,"Action",2
98,"Comedy",1
98,"Crime",1
98,"Drama",4
98,"Fantasy",1
98,"Horror",3
98,"Mystery",2
98,"Romance",2
98,"Science Fiction",3
98,"Thriller",4
98,"Western",1
99,"Action",1
99,"Adventure",2
99,"Comedy",3
99,"Crime",1
99,"Drama",3
99,"Family",1
99,"Fantasy",2
99,"Horror",1
99,"Romance",1
99,"Science Fiction",1
99,"Thriller",3
100,"Action",5
100,"Adventure",1
100,"Comedy",2
100,"Crime",2
100,"Drama",6
100,"Fantasy",3
100,"Horror",2
100,"Music",1
100,"Mystery",1
100,"Romance",2
100,"Science Fiction",1
100,"Thriller",5
101,"Crime",1
101,"Drama",2
101,"Mystery",1
101,"Romance",2
101,"Thriller",1
102,"Action",2
102,"Comedy",1
102,"Crime",3
102,"Drama",4
102,"Horror",1
102,"Mystery",1
102,"Romance",2
102,"Science Fiction",1
103,"Action",6
103,"Adventure",5
103,"Comedy",9
103,"Crime",5
103,"Drama",18
103,"Family",1
103,"Fantasy",3
103,"History",2
103,"Music",2
103,"Mystery",5
103,"Romance",8
103,"Science Fiction",5
103,"Thriller",10
103,"War",2
103,"Western",1
108,"Action",1
108,"Comedy",1
108,"Crime",1
109,"Action",10
109,"Adventure",10
109,"Animation",3
109,"Comedy",5
109,"Crime",2
109,"Drama",8
109,"Family",5
109,"Fantasy",5
109,"History",1
109,"Horror",2
109,"Mystery",2
109,"Romance",4
109,"Science Fiction",5
109,"Thriller",3
110,"Action",7
110,"Adventure",7
110,"Comedy",1
110,"Crime",6
110,"Documentary",1
110,"Drama",14
110,"Fantasy",4
110,"Horror",2
110,"Mystery",1
110,"Romance",2
110,"Thriller",9
110,"War",1
110,"Western",2
112,"Action",12
112,"Adventure",11
112,"Animation",2
112,"Comedy",7
112,"Crime",5
112,"Drama",18
112,"Family",3
112,"Fantasy",9
112,"History",3
112,"Music",1
112,"Mystery",2
112,"Romance",9
112,"Thriller",5
112,"War",2
113,"Action",10
113,"Adventure",13
113,"Animation",1
113,"Comedy",5
113,"Crime",1
113,"Drama",2
113,"Family",3
113,"Fantasy",11
113,"History",1
113,"Horror",2
113,"Music",1
113,"Mystery",1
113,"Romance",2
113,"Science Fiction",2
113,"Thriller",1
114,"Action",10
114,"Adventure",11
114,"Comedy",1
114,"Crime",1
114,"Drama",4
114,"Fantasy",8
114,"History",2
114,"Romance",1
114,"Thriller",2
114,"War",3
116,"Action",6
116,"Adventure",5
116,"Comedy",4
116,"Crime",1
116,"Drama",14
116,"Fantasy",4
116,"History",2
116,"Music",1
116,"Mystery",1
116,"Romance",9
116,"Science Fiction",3
116,"Thriller",4
116,"War",1
118,"Action",8
118,"Adventure",9
118,"Animation",3
118,"Comedy",5
118,"Crime",2
118,"Drama",12
118,"Family",3
118,"Fantasy",8
118,"Foreign",1
118,"History",5
118,"Horror",1
118,"Mystery",2
118,"Romance",6
118,"Science Fiction",2
118,"Thriller",5
118,"Western",1
130,"Action",6
130,"Adventure",7
130,"Comedy",1
130,"Drama",2
130,"Family",1
130,"Fantasy",1
130,"History",2
130,"Music",1
130,"Science Fiction",7
131,"Action",4
131,"Adventure",5
131,"Comedy",5
131,"Crime",4
131,"Drama",17
131,"Fantasy",2
131,"Mystery",3
131,"Romance",8
131,"Science Fiction",2
131,"Thriller",8
131,"War",2
132,"Drama",1
132,"War",1
133,"Action",3
133,"Adventure",2
133,"Comedy",5
133,"Crime",3
133,"Drama",17
133,"History",2
133,"Horror",3
133,"Mystery",4
133,"Romance",2
133,"Science Fiction",3
133,"Thriller",8
133,"War",1
134,"Action",5
134,"Adventure",3
134,"Animation",2
134,"Comedy",10
134,"Crime",4
134,"Drama",14
134,"Family",3
134,"Fantasy",1
134,"Music",1
134,"Romance",2
134,"Thriller",5
134,"War",1
134,"Western",2
138,"Action",4
138,"Comedy",3
138,"Crime",6
138,"Drama",3
138,"Fantasy",1
138,"Horror",2
138,"Mystery",1
138,"Romance",1
138,"Thriller",6
138,"War",1
138,"Western",2
139,"Action",5
139,"Adventure",2
139,"Comedy",6
139,"Crime",6
139,"Drama",5
139,"Family",1
139,"Fantasy",3
139,"Music",1
139,"Mystery",3
139,"Romance",3
139,"Science Fiction",3
139,"Thriller",5
140,"Action",12
140,"Adventure",6
140,"Animation",3
140,"Comedy",9
140,"Crime",8
140,"Drama",6
140,"Family",3
140,"Music",1
140,"Mystery",2
140,"Romance",1
140,"Science Fiction",1
140,"Thriller",6
140,"Western",1
141,"Action",6
141,"Adventure",1
141,"Comedy",2
141,"Crime",5
141,"Drama",2
141,"History",1
141,"Romance",1
141,"Science Fiction",1
141,"Thriller",3
141,"Western",2
147,"Action",7
147,"Adventure",4
147,"Animation",1
147,"Comedy",4
147,"Crime",6
147,"Drama",4
147,"Family",2
147,"Fantasy",2
147,"Horror",2
147,"Music",2
147,"Mystery",1
147,"Romance",2
147,"Science Fiction",2
147,"Thriller",6
147,"Western",2
150,"Action",4
150,"Adventure",1
150,"Comedy",3
150,"Crime",6
150,"Drama",7
150,"Romance",1
150,"Science Fiction",2
150,"Thriller",5
155,"Action",2
155,"Comedy",2
155,"Crime",1
155,"Drama",10
155,"History",1
155,"Horror",1
155,"Mystery",2
155,"Romance",1
155,"Science Fiction",1
155,"Thriller",2
155,"War",1
155,"Western",1
169,"Action",1
169,"Crime",2
169,"Drama",3
169,"History",3
169,"Thriller",2
169,"War",1
176,"Comedy",1
176,"Drama",2
177,"Comedy",1
177,"Drama",1
177,"Romance",1
190,"Action",3
190,"Adventure",2
190,"Comedy",2
190,"Crime",3
190,"Drama",8
190,"Family",1
190,"Fantasy",1
190,"Music",1
190,"Mystery",1
190,"Romance",3
190,"Science Fiction",1
190,"Thriller",4
190,"Western",7
192,"Action",16
192,"Adventure",6
192,"Animation",1
192,"Comedy",11
192,"Crime",17
192,"Documentary",1
192,"Drama",22
192,"Family",5
192,"Fantasy",3
192,"History",2
192,"Horror",1
192,"Mystery",9
192,"Romance",1
192,"Science Fiction",7
192,"Thriller",21
192,"War",1
192,"Western",1
193,"Action",11
193,"Adventure",5
193,"Animation",1
193,"Comedy",8
193,"Crime",6
193,"Drama",12
193,"Family",1
193,"Fantasy",2
193,"History",2
193,"Mystery",2
193,"Romance",2
193,"Science Fiction",4
193,"Thriller",8
193,"War",3
193,"Western",3
194,"Action",5
194,"Adventure",5
194,"Crime",2
194,"Drama",6
194,"Family",2
194,"Fantasy",2
194,"History",1
194,"Mystery",1
194,"Romance",1
194,"Thriller",3
194,"War",1
194,"Western",2
197,"Animation",1
197,"Comedy",1
197,"Family",1
198,"Action",1
198,"Adventure",2
198,"Animation",2
198,"Comedy",2
198,"Drama",1
198,"Family",3
198,"Fantasy",1
198,"Science Fiction",1
199,"Animation",1
199,"Comedy",4
199,"Drama",3
199,"Family",1
199,"Fantasy",1
199,"Romance",1
200,"Animation",2
200,"Comedy",1
200,"Drama",1
200,"Family",2
200,"Fantasy",1
200,"Horror",1
200,"Science Fiction",1
200,"Thriller",1
204,"Action",2
204,"Adventure",3
204,"Animation",1
204,"Comedy",6
204,"Crime",1
204,"Drama",18
204,"Family",1
204,"Fantasy",1
204,"History",1
204,"Music",1
204,"Romance",10
204,"Science Fiction",4
204,"Thriller",6
205,"Action",4
205,"Adventure",5
205,"Animation",1
205,"Comedy",12
205,"Crime",1
205,"Drama",14
205,"Family",1
205,"Fantasy",4
205,"History",1
205,"Horror",1
205,"Mystery",1
205,"Romance",13
205,"Science Fiction",4
205,"Thriller",1
206,"Action",2
206,"Adventure",2
206,"Animation",1
206,"Comedy",20
206,"Crime",4
206,"Drama",10
206,"Family",3
206,"Fantasy",5
206,"Mystery",2
206,"Romance",6
206,"Science Fiction",1
206,"Thriller",2
207,"Action",7
207,"Adventure",4
207,"Comedy",9
207,"Crime",8
207,"Drama",19
207,"Fantasy",1
207,"History",6
207,"Horror",1
207,"Mystery",3
207,"Romance",8
207,"Science Fiction",1
207,"Thriller",8
207,"War",4
207,"Western",2
208,"Drama",1
208,"Romance",1
208,"Science Fiction",1
209,"Adventure",1
209,"Comedy",4
209,"Crime",2
209,"Drama",10
209,"Music",2
209,"Romance",3
209,"Science Fiction",1
209,"Thriller",1
210,"Crime",1
210,"Drama",2
210,"Romance",1
210,"Science Fiction",1
210,"Thriller",1
211,"Comedy",2
211,"Drama",3
211,"Romance",3
211,"Science Fiction",1
212,"Action",4
212,"Adventure",6
212,"Animation",8
212,"Comedy",19
212,"Drama",6
212,"Family",10
212,"Fantasy",5
212,"Music",6
212,"Romance",5
212,"Science Fiction",4
212,"Thriller",1
213,"Drama",1
213,"Romance",1
213,"Science Fiction",1
214,"Drama",1
214,"Romance",1
214,"Science Fiction",1
216,"Action",1
216,"Adventure",1
216,"Comedy",1
216,"Crime",1
216,"Drama",2
216,"Family",2
216,"Mystery",1
216,"Romance",1
216,"Science Fiction",1
216,"Thriller",1
217,"Drama",1
217,"Romance",1
217,"Science Fiction",1
220,"Drama",1
220,"Romance",1
220,"Science Fiction",1
221,"Comedy",1
221,"Drama",1
221,"Music",1
221,"Romance",1
221,"Science Fiction",1
224,"Comedy",1
224,"Drama",2
224,"Fantasy",1
224,"Horror",2
224,"Mystery",1
224,"Science Fiction",2
224,"Thriller",2
225,"Crime",1
225,"Drama",2
225,"Romance",1
225,"Science Fiction",1
225,"Thriller",1
226,"Crime",1
226,"Drama",1
226,"Thriller",1
227,"Action",7
227,"Adventure",9
227,"Crime",3
227,"Drama",12
227,"Family",3
227,"Fantasy",2
227,"Mystery",3
227,"Romance",5
227,"Science Fiction",7
227,"Thriller",6
228,"Action",7
228,"Adventure",2
228,"Comedy",5
228,"Crime",8
228,"Drama",23
228,"Fantasy",1
228,"History",2
228,"Horror",1
228,"Music",1
228,"Mystery",3
228,"Romance",3
228,"Science Fiction",3
228,"Thriller",12
228,"War",2
228,"Western",1
229,"Crime",2
229,"Drama",5
229,"History",1
229,"Horror",1
229,"Mystery",1
229,"Romance",2
229,"Science Fiction",1
229,"Thriller",4
229,"Western",1
230,"Action",6
230,"Adventure",4
230,"Comedy",3
230,"Crime",2
230,"Drama",3
230,"Fantasy",1
230,"Horror",4
230,"Mystery",2
230,"Romance",2
230,"Science Fiction",5
230,"Thriller",2
230,"War",1
231,"Action",1
231,"Adventure",1
231,"Crime",3
231,"Drama",1
231,"Horror",2
231,"Science Fiction",1
231,"Thriller",2
232,"Action",2
232,"Adventure",1
232,"Comedy",2
232,"Crime",1
232,"Drama",3
232,"Family",1
232,"Fantasy",1
232,"Horror",1
232,"Science Fiction",1
232,"Thriller",3
233,"Action",1
233,"Adventure",1
233,"Crime",1
233,"Drama",1
233,"Science Fiction",1
233,"Thriller",1
234,"Action",1
234,"Crime",1
234,"Drama",3
234,"History",1
234,"Horror",1
234,"Romance",1
234,"Science Fiction",1
234,"Thriller",3
235,"Crime",1
235,"Drama",1
235,"Thriller",1
236,"Action",1
236,"Crime",2
236,"Drama",2
236,"Mystery",1
236,"Thriller",3
237,"Action",1
237,"Adventure",1
237,"Crime",2
237,"Drama",1
237,"Fantasy",1
237,"Horror",1
237,"Science Fiction",2
237,"Thriller",3
245,"Adventure",1
245,"Mystery",1
245,"Science Fiction",1
246,"Adventure",1
246,"Mystery",1
246,"Science Fiction",1
247,"Adventure",1
247,"Mystery",1
247,"Science Fiction",1
248,"Adventure",1
248,"Mystery",1
248,"Science Fiction",1
249,"Adventure",1
249,"Drama",2
249,"Family",1
249,"Music",1
249,"Mystery",1
249,"Romance",1
249,"Science Fiction",1
249,"War",1
250,"Adventure",1
250,"Comedy",1
250,"Crime",1
250,"Drama",1
250,"Mystery",2
250,"Romance",1
250,"Science Fiction",1
250,"Thriller",1
251,"Action",1
251,"Adventure",2
251,"Mystery",1
251,"Science Fiction",2
252,"Adventure",1
252,"Horror",1
252,"Mystery",1
252,"Science Fiction",2
252,"Thriller",1
253,"Adventure",1
253,"Mystery",1
253,"Science Fiction",1
258,"Comedy",3
258,"Drama",7
258,"Horror",1
258,"Mystery",1
258,"Romance",4
258,"Science Fiction",1
258,"Thriller",2
258,"Western",1
259,"Adventure",1
259,"Crime",1
259,"Drama",2
259,"Mystery",1
259,"Thriller",1
259,"Western",1
260,"Drama",2
260,"Thriller",2
261,"Drama",1
261,"Thriller",1
262,"Drama",1
262,"Thriller",1
263,"Action",1
263,"Adventure",1
263,"Drama",3
263,"History",1
263,"Romance",1
263,"Thriller",2
263,"War",1
263,"Western",1
264,"Drama",1
264,"Thriller",1
265,"Drama",1
265,"Thriller",1
266,"Drama",1
266,"Thriller",1
267,"Drama",1
267,"Thriller",1
268,"Drama",1
268,"Thriller",1
269,"Drama",1
269,"Thriller",1
270,"Action",1
270,"Adventure",1
270,"Drama",4
270,"Fantasy",1
270,"History",1
270,"Horror",1
270,"Thriller",2
271,"Action",1
271,"Comedy",1
271,"Drama",2
271,"Thriller",2
272,"Drama",1
272,"Thriller",1
273,"Adventure",1
273,"Crime",1
273,"Drama",1
273,"Mystery",1
273,"Western",1
280,"Action",1
280,"Adventure",2
280,"Comedy",2
280,"Fantasy",2
280,"Science Fiction",2
287,"Action",9
287,"Adventure",4
287,"Animation",3
287,"Comedy",10
287,"Crime",13
287,"Drama",24
287,"Family",3
287,"Fantasy",4
287,"History",2
287,"Horror",2
287,"Mystery",3
287,"Romance",9
287,"Science Fiction",2
287,"Thriller",16
287,"War",4
287,"Western",1
288,"Action",3
288,"Adventure",2
288,"Comedy",1
288,"Crime",2
288,"Drama",2
288,"Thriller",3
289,"Action",3
289,"Adventure",1
289,"Crime",1
289,"Drama",2
289,"History",2
289,"Mystery",1
289,"Romance",1
289,"Science Fiction",1
289,"Thriller",2
289,"War",2
290,"Action",8
290,"Adventure",7
290,"Animation",3
290,"Comedy",8
290,"Crime",2
290,"Drama",20
290,"Family",4
290,"Fantasy",4
290,"History",6
290,"Horror",2
290,"Music",2
290,"Mystery",4
290,"Romance",10
290,"Science Fiction",4
290,"Thriller",9
290,"War",2
291,"Adventure",1
291,"Comedy",1
291,"Crime",1
291,"Family",1
291,"Science Fiction",1
312,"Comedy",1
312,"Documentary",1
312,"Drama",2
312,"Music",1
323,"Comedy",1
323,"Crime",1
323,"Drama",1
325,"Action",2
325,"Comedy",3
325,"Drama",2
326,"Action",5
326,"Adventure",3
326,"Comedy",2
326,"Crime",5
326,"Drama",9
326,"Fantasy",1
326,"Horror",1
326,"Mystery",1
326,"Romance",2
326,"Science Fiction",1
326,"Thriller",6
327,"Action",3
327,"Adventure",3
327,"Comedy",1
327,"Crime",1
327,"Drama",4
327,"Family",1
327,"Fantasy",1
327,"Horror",2
327,"Music",1
327,"Mystery",2
327,"Romance",2
327,"Science Fiction",4
327,"Thriller",5
328,"Action",1
328,"Animation",1
328,"Comedy",10
328,"Crime",3
328,"Drama",9
328,"Family",1
328,"Mystery",2
328,"Romance",4
328,"Science Fiction",1
328,"Thriller",5
333,"Action",3
333,"Comedy",2
333,"Crime",1
333,"Drama",4
333,"Science Fiction",1
333,"Thriller",2
333,"Western",2
334,"Action",2
334,"Adventure",1
334,"Comedy",2
334,"Crime",1
334,"Drama",7
334,"Fantasy",1
334,"Romance",1
334,"Thriller",1
334,"War",1
335,"Action",7
335,"Adventure",6
335,"Comedy",9
335,"Crime",10
335,"Drama",21
335,"Fantasy",4
335,"History",2
335,"Music",1
335,"Mystery",3
335,"Romance",7
335,"Science Fiction",4
335,"Thriller",13
335,"War",1
335,"Western",1
336,"Action",2
336,"Adventure",2
336,"Animation",1
336,"Comedy",1
336,"Crime",3
336,"Drama",6
336,"Family",1
336,"Mystery",2
336,"Science Fiction",1
336,"Thriller",3
341,"Drama",1
342,"Action",1
342,"Adventure",1
342,"Crime",1
342,"Drama",2
342,"Horror",1
342,"Science Fiction",1
342,"Thriller",2
343,"Action",2
343,"Adventure",1
343,"Comedy",2
343,"Crime",1
343,"Drama",10
343,"Family",1
343,"Horror",2
343,"Music",1
343,"Mystery",1
343,"Romance",3
343,"Science Fiction",1
343,"Thriller",2
344,"Drama",1
346,"Animation",1
346,"Family",1
349,"Action",8
349,"Adventure",2
349,"Comedy",1
349,"Crime",6
349,"Drama",14
349,"Fantasy",1
349,"History",2
349,"Horror",1
349,"Mystery",2
349,"Romance",2
349,"Thriller",11
349,"War",3
349,"Western",1
350,"Action",2
350,"Adventure",2
350,"Animation",1
350,"Comedy",7
350,"Crime",5
350,"Drama",19
350,"Family",1
350,"Fantasy",1
350,"Horror",2
350,"Mystery",4
350,"Romance",4
350,"Science Fiction",1
350,"Thriller",8
351,"Adventure",2
351,"Comedy",4
351,"Crime",2
351,"Drama",7
351,"Family",1
351,"History",2
351,"Romance",2
351,"Thriller",2
352,"Action",1
352,"Adventure",3
352,"Animation",4
352,"Comedy",5
352,"Crime",2
352,"Drama",6
352,"Family",4
352,"History",1
352,"Mystery",1
352,"Romance",4
352,"Science Fiction",1
352,"Thriller",3
352,"War",1
366,"Comedy",1
366,"Romance",1
368,"Action",2
368,"Adventure",1
368,"Animation",1
368,"Comedy",13
368,"Crime",3
368,"Drama",13
368,"Family",1
368,"Fantasy",2
368,"History",1
368,"Music",1
368,"Mystery",1
368,"Romance",12
368,"Science Fiction",1
368,"Thriller",4
374,"Adventure",1
374,"Comedy",2
374,"Family",1
374,"Fantasy",1
374,"Science Fiction",2
378,"Action",9
378,"Adventure",8
378,"Animation",1
378,"Comedy",5
378,"Crime",2
378,"Drama",6
378,"Family",1
378,"Fantasy",5
378,"History",1
378,"Horror",1
378,"Music",2
378,"Mystery",1
378,"Romance",3
378,"Science Fiction",4
378,"Thriller",5
380,"Action",10
380,"Adventure",6
380,"Animation",3
380,"Comedy",23
380,"Crime",22
380,"Documentary",1
380,"Drama",29
380,"Family",4
380,"Fantasy",2
380,"History",1
380,"Horror",2
380,"Music",1
380,"Mystery",3
380,"Romance",9
380,"Science Fiction",2
380,"Thriller",14
380,"War",1
381,"Adventure",4
381,"Animation",2
381,"Comedy",6
381,"Crime",1
381,"Drama",1
381,"Family",3
381,"Fantasy",1
381,"Horror",1
381,"Science Fiction",2
381,"Thriller",2
382,"Action",2
382,"Adventure",5
382,"Animation",2
382,"Comedy",13
382,"Crime",2
382,"Drama",15
382,"Family",4
382,"Fantasy",5
382,"Foreign",1
382,"History",2
382,"Music",3
382,"Romance",5
382,"Science Fiction",2
382,"Thriller",1
382,"War",1
383,"Adventure",2
383,"Animation",1
383,"Comedy",4
383,"Drama",1
383,"Family",2
383,"Fantasy",2
383,"Science Fiction",2
385,"Comedy",1
385,"Drama",3
385,"History",1
385,"Horror",1
385,"Music",1
385,"Mystery",2
385,"Romance",2
385,"Science Fiction",2
385,"Thriller",1
385,"War",1
386,"Adventure",1
386,"Comedy",4
386,"Drama",3
386,"Family",1
386,"Fantasy",1
386,"Romance",2
386,"Science Fiction",2
387,"Comedy",1
