"budget","revenue","movie_id","title","popularity","status","release_date","runtime","vote_average","vote_count","genre_id","genre"
237000000,2787965087,19995,"Avatar",150.437577,"Released","2009-12-10",162,7.2,11800,28,"Action"
237000000,2787965087,19995,"Avatar",150.437577,"Released","2009-12-10",162,7.2,11800,12,"Adventure"
237000000,2787965087,19995,"Avatar",150.437577,"Released","2009-12-10",162,7.2,11800,14,"Fantasy"
237000000,2787965087,19995,"Avatar",150.437577,"Released","2009-12-10",162,7.2,11800,878,"Science Fiction"
300000000,9.61e+08,285,"Pirates of the Caribbean: At World's End",139.082615,"Released","2007-05-19",169,6.9,4500,12,"Adventure"
300000000,9.61e+08,285,"Pirates of the Caribbean: At World's End",139.082615,"Released","2007-05-19",169,6.9,4500,14,"Fantasy"
300000000,9.61e+08,285,"Pirates of the Caribbean: At World's End",139.082615,"Released","2007-05-19",169,6.9,4500,28,"Action"
245000000,880674609,206647,"Spectre",107.376788,"Released","2015-10-26",148,6.3,4466,28,"Action"
245000000,880674609,206647,"Spectre",107.376788,"Released","2015-10-26",148,6.3,4466,12,"Adventure"
245000000,880674609,206647,"Spectre",107.376788,"Released","2015-10-26",148,6.3,4466,80,"Crime"
250000000,1084939099,49026,"The Dark Knight Rises",112.31295,"Released","2012-07-16",165,7.6,9106,28,"Action"
250000000,1084939099,49026,"The Dark Knight Rises",112.31295,"Released","2012-07-16",165,7.6,9106,80,"Crime"
250000000,1084939099,49026,"The Dark Knight Rises",112.31295,"Released","2012-07-16",165,7.6,9106,18,"Drama"
250000000,1084939099,49026,"The Dark Knight Rises",112.31295,"Released","2012-07-16",165,7.6,9106,53,"Thriller"
260000000,284139100,49529,"John Carter",43.926995,"Released","2012-03-07",132,6.1,2124,28,"Action"
260000000,284139100,49529,"John Carter",43.926995,"Released","2012-03-07",132,6.1,2124,12,"Adventure"
260000000,284139100,49529,"John Carter",43.926995,"Released","2012-03-07",132,6.1,2124,878,"Science Fiction"
258000000,890871626,559,"Spider-Man 3",115.699814,"Released","2007-05-01",139,5.9,3576,14,"Fantasy"
258000000,890871626,559,"Spider-Man 3",115.699814,"Released","2007-05-01",139,5.9,3576,28,"Action"
258000000,890871626,559,"Spider-Man 3",115.699814,"Released","2007-05-01",139,5.9,3576,12,"Adventure"
260000000,591794936,38757,"Tangled",48.681969,"Released","2010-11-24",100,7.4,3330,16,"Animation"
260000000,591794936,38757,"Tangled",48.681969,"Released","2010-11-24",100,7.4,3330,10751,"Family"
280000000,1405403694,99861,"Avengers: Age of Ultron",134.279229,"Released","2015-04-22",141,7.3,6767,28,"Action"
280000000,1405403694,99861,"Avengers: Age of Ultron",134.279229,"Released","2015-04-22",141,7.3,6767,12,"Adventure"
280000000,1405403694,99861,"Avengers: Age of Ultron",134.279229,"Released","2015-04-22",141,7.3,6767,878,"Science Fiction"
250000000,933959197,767,"Harry Potter and the Half-Blood Prince",98.885637,"Released","2009-07-07",153,7.4,5293,12,"Adventure"
250000000,933959197,767,"Harry Potter and the Half-Blood Prince",98.885637,"Released","2009-07-07",153,7.4,5293,14,"Fantasy"
250000000,933959197,767,"Harry Potter and the Half-Blood Prince",98.885637,"Released","2009-07-07",153,7.4,5293,10751,"Family"
250000000,873260194,209112,"Batman v Superman: Dawn of Justice",155.790452,"Released","2016-03-23",151,5.7,7004,28,"Action"
250000000,873260194,209112,"Batman v Superman: Dawn of Justice",155.790452,"Released","2016-03-23",151,5.7,7004,12,"Adventure"
250000000,873260194,209112,"Batman v Superman: Dawn of Justice",155.790452,"Released","2016-03-23",151,5.7,7004,14,"Fantasy"
270000000,391081192,1452,"Superman Returns",57.925623,"Released","2006-06-28",154,5.4,1400,12,"Adventure"
270000000,391081192,1452,"Superman Returns",57.925623,"Released","2006-06-28",154,5.4,1400,14,"Fantasy"
270000000,391081192,1452,"Superman Returns",57.925623,"Released","2006-06-28",154,5.4,1400,28,"Action"
270000000,391081192,1452,"Superman Returns",57.925623,"Released","2006-06-28",154,5.4,1400,878,"Science Fiction"
200000000,586090727,10764,"Quantum of Solace",107.928811,"Released","2008-10-30",106,6.1,2965,12,"Adventure"
200000000,586090727,10764,"Quantum of Solace",107.928811,"Released","2008-10-30",106,6.1,2965,28,"Action"
200000000,586090727,10764,"Quantum of Solace",107.928811,"Released","2008-10-30",106,6.1,2965,53,"Thriller"
200000000,586090727,10764,"Quantum of Solace",107.928811,"Released","2008-10-30",106,6.1,2965,80,"Crime"
200000000,1065659812,58,"Pirates of the Caribbean: Dead Man's Chest",145.847379,"Released","2006-06-20",151,7,5246,12,"Adventure"
200000000,1065659812,58,"Pirates of the Caribbean: Dead Man's Chest",145.847379,"Released","2006-06-20",151,7,5246,14,"Fantasy"
200000000,1065659812,58,"Pirates of the Caribbean: Dead Man's Chest",145.847379,"Released","2006-06-20",151,7,5246,28,"Action"
255000000,89289910,57201,"The Lone Ranger",49.046956,"Released","2013-07-03",149,5.9,2311,28,"Action"
255000000,89289910,57201,"The Lone Ranger",49.046956,"Released","2013-07-03",149,5.9,2311,12,"Adventure"
255000000,89289910,57201,"The Lone Ranger",49.046956,"Released","2013-07-03",149,5.9,2311,37,"Western"
225000000,662845518,49521,"Man of Steel",99.398009,"Released","2013-06-12",143,6.5,6359,28,"Action"
225000000,662845518,49521,"Man of Steel",99.398009,"Released","2013-06-12",143,6.5,6359,12,"Adventure"
225000000,662845518,49521,"Man of Steel",99.398009,"Released","2013-06-12",143,6.5,6359,14,"Fantasy"
225000000,662845518,49521,"Man of Steel",99.398009,"Released","2013-06-12",143,6.5,6359,878,"Science Fiction"
225000000,419651413,2454,"The Chronicles of Narnia: Prince Caspian",53.978602,"Released","2008-05-15",150,6.3,1630,12,"Adventure"
225000000,419651413,2454,"The Chronicles of Narnia: Prince Caspian",53.978602,"Released","2008-05-15",150,6.3,1630,10751,"Family"
225000000,419651413,2454,"The Chronicles of Narnia: Prince Caspian",53.978602,"Released","2008-05-15",150,6.3,1630,14,"Fantasy"
220000000,1519557910,24428,"The Avengers",144.448633,"Released","2012-04-25",143,7.4,11776,878,"Science Fiction"
220000000,1519557910,24428,"The Avengers",144.448633,"Released","2012-04-25",143,7.4,11776,28,"Action"
220000000,1519557910,24428,"The Avengers",144.448633,"Released","2012-04-25",143,7.4,11776,12,"Adventure"
380000000,1045713802,1865,"Pirates of the Caribbean: On Stranger Tides",135.413856,"Released","2011-05-14",136,6.4,4948,12,"Adventure"
380000000,1045713802,1865,"Pirates of the Caribbean: On Stranger Tides",135.413856,"Released","2011-05-14",136,6.4,4948,28,"Action"
380000000,1045713802,1865,"Pirates of the Caribbean: On Stranger Tides",135.413856,"Released","2011-05-14",136,6.4,4948,14,"Fantasy"
225000000,624026776,41154,"Men in Black 3",52.035179,"Released","2012-05-23",106,6.2,4160,28,"Action"
225000000,624026776,41154,"Men in Black 3",52.035179,"Released","2012-05-23",106,6.2,4160,35,"Comedy"
